Data,Valor,Identificador,Descrição,Categoria
24/11/2024,-1446.65,d99aa445-1fb9-467c-ae8c-e0d6a729fa42,Transferência enviada pelo Pix - IPTU,IPTU
16/02/2024,-1308.29,a6c35293-a0a0-42bf-aec2-545bd1cc2147,Impostos - Pagamento,Impostos
15/11/2024,-44.66,663e27df-eb7e-49f7-a579-30ddfc955321,Cabeleireiro - Pagamento,Cabeleireiro
20/02/2024,-1349.13,4de532bb-fe21-4ccf-ab66-fb4aab8ec24e,Compra no débito - IPTU,IPTU
29/02/2024,-304.08,bbfe88bd-6ff4-4689-afc6-bcb864d4d251,Transferência enviada pelo Pix - IPVA,IPVA
29/01/2024,747.96,f3f782fc-559b-43a4-bc9b-c551ce9852d3,Fundo de investimento,Investimentos
04/03/2024,-64.0,6f5ad4ed-bbee-4fe5-bf67-ae1dd7979431,Conta de Combustível,Combustível
07/09/2024,-43.94,c784119e-8897-4e11-9a8e-f6f0dc339249,Compra no débito - Posto Elo Centro,Transporte
29/03/2024,2746.9,7bb0ea53-ff78-4a22-9bb6-4bb9dbaa813a,Transferência Recebida - Aluguel Recebido,Aluguel Recebido
10/09/2024,-108.41,93d263f2-3529-4959-870b-88a3efec3b02,Compra no débito - Lazer,Lazer
04/09/2024,3027.27,d22568e7-4ced-4aff-9143-a63da995d8b8,Transferência Recebida - Férias,Férias
10/06/2024,-27.84,4c5dc6ef-6421-4bac-9c6f-3b7883b7d44b,Transferência enviada pelo Pix - Água,Água
29/07/2024,-265.86,12273b08-d33b-4727-8a07-55324fd50ff8,Compra no débito - Saúde,Saúde
05/10/2024,-926.46,eaec829c-fde6-4026-a4e2-742bf2a310d7,Transferência enviada pelo Pix - Empréstimos,Empréstimos
28/08/2024,-280.52,1a87b2f4-775b-41a8-9182-e938609687b2,Compra no débito - Plano de Saúde,Plano de Saúde
04/08/2024,-31.95,fd412b5c-3c6a-4f2f-9e5f-4b88b086451d,Transferência enviada pelo Pix - GOGIPSY BRASIL,Streaming
26/01/2024,-50.82,443b5c72-362f-4eac-8d98-33f2414a53ad,Compra no débito - Bares,Bares
03/11/2024,-127.09,40d89e70-645a-43f4-9a22-f95aaf003cf9,Conta de Previdência,Previdência
14/12/2024,-433.87,44deaf65-c220-4e73-bd61-fc6e9c7ca934,Conta de Previdência,Previdência
06/11/2024,-720.76,d986fb38-d57d-4a85-b51e-251cbc58da67,Aluguel - Pagamento,Aluguel
26/08/2024,-789.9,ef6dd8f3-d21e-438d-a9e3-7c3cf697f420,Crianças - Pagamento,Crianças
27/09/2024,6754.53,b756259c-55af-4a02-93ea-3c1de70e08ae,Depósito - 13º Salário,13º Salário
10/12/2024,-84.13,c3616de2-085e-49bc-aafa-12fc32a5d26d,Conta de Presentes,Presentes
10/05/2024,-32.57,c0bba944-81a7-4e24-b97b-7c4f5c6ffc17,Transferência enviada pelo Pix - Transporte,Transporte
27/05/2024,1286.74,163d530c-ae87-4953-a3bf-0882f56e60dc,Transferência Recebida - Pensão Recebida,Pensão Recebida
22/10/2024,-1380.02,a3f79bfa-02e0-4d96-9a87-c30c911f006e,Poupança - Pagamento,Poupança
06/02/2024,-240.79,3a20f6cc-811d-4fd4-a920-d2c39e65a74f,Transferência enviada pelo Pix - Presentes,Presentes
08/01/2024,271.98,db6bf3b6-078a-40b7-86ff-7ee6a1cbbaaf,TED Recebida - Vendas,Vendas
05/07/2024,-1251.26,32fa592a-e5d1-46fa-96d4-2d9e4d785a07,Transferência enviada pelo Pix - IPTU,IPTU
02/12/2024,-165.32,44fde99d-1f24-4223-a778-d396da035792,Light - Energia elétrica,Energia Elétrica
07/02/2024,-88.51,a7fcb4bf-9eba-4d6f-b909-21ec3a210540,Supermercado - Pagamento,Supermercado
12/02/2024,-144.79,1578f97d-8f3c-4413-afb1-d06558b6d7f6,Pets - Pagamento,Pets
07/12/2024,-143.45,ecf25258-8fce-436c-9de5-2f2fa30fbfb2,Transferência enviada pelo Pix - Supermercado,Supermercado
24/07/2024,-1454.91,5de85ee8-13ab-4149-bd42-6a9477149e78,Transferência enviada pelo Pix - Educação,Educação
04/05/2024,-113.65,fec529cb-c5d5-4c4e-accd-50f563528340,Transferência enviada pelo Pix - Pets,Pets
04/07/2024,-2888.72,d77db4db-568e-4883-bb11-2d4760e6f149,Viagens - Pagamento,Viagens
02/10/2024,-58.2,e7fb4d0d-07d5-48f6-8cee-d40d0458ceb3,Conta de Bares,Bares
11/08/2024,-86.86,7ad92d6d-3a84-4d6d-bcc5-db57104928b7,Compra no débito - PAGUE MENOS 243,Medicamentos
14/11/2024,-104.93,99eefa53-58db-4e9e-a2cf-df9a366f9ca3,Compra no débito - Doações,Doações
30/12/2024,-82.02,545f1da2-eec9-46bf-987f-74d28643bbfa,Restaurantes - Pagamento,Restaurantes
18/01/2024,-269.49,9337e166-41aa-485f-9c25-768464fac677,Conta de Multas,Multas
23/04/2024,-123.42,99c35f19-3400-41d5-94e5-28968436fada,Transferência enviada pelo Pix - Academia,Academia
12/05/2024,1032.84,cdf0de8e-4b57-4d57-8fb1-4fbbe87a8ba4,Fundo de investimento,Investimentos
02/01/2024,-1204.32,a97e1f80-47ea-4ca7-af1c-6654edaead0e,Transferência enviada pelo Pix - Educação,Educação
14/02/2024,-222.54,8d4d3b36-c78b-45db-aad6-83b2b1458de4,Terapia - Pagamento,Terapia
08/11/2024,-136.23,f3bc8387-29bd-4c88-9a5e-e0461397c003,Transferência enviada pelo Pix - Moradia,Moradia
26/02/2024,-97.34,e3a9fd87-133e-4834-ae85-f67948deb1fe,Ultrafarma - Medicamentos,Medicamentos
24/05/2024,2551.23,10e39019-f3fe-44f5-8a09-70eca8fbec2f,Depósito - Bonificação,Bonificação
03/03/2024,-64.35,7a2b735b-c2c6-4d4b-9c2e-9466762bbaee,Drogasil - Medicamentos,Medicamentos
02/05/2024,-61.2,731da083-2a7f-4eca-9b11-58deabe75251,CafeDoCampus - Refeição,Alimentação
21/08/2024,-1308.41,62e08672-deae-4885-9efa-346bf6430524,Compra no débito - IPTU,IPTU
24/08/2024,-23.03,a509122c-3442-497a-bfea-b231cf709777,Cinema - Pagamento,Cinema
15/03/2024,-82.33,b8645b42-c54a-4312-8b32-1a15d2b0b1e0,Compra no débito - Sapatos,Sapatos
20/01/2024,1356.3,3adbbe6a-b5df-483f-af2f-23c336392535,Transferência Recebida - Pensão Recebida,Pensão Recebida
09/11/2024,-128.65,8975b637-45e7-4985-83df-79fc8b161bb5,Presentes - Pagamento,Presentes
06/09/2024,-41.13,56947d0d-6cf0-4cf4-bdd2-f133cb90c091,Compra no débito - Assinaturas,Assinaturas
25/05/2024,-755.52,267de351-ee7a-40a2-b3df-ca18f62d5422,Conta de Impostos,Impostos
22/09/2024,-224.89,966c9f42-f705-4c4f-b8ae-6d5e96075976,Transferência enviada pelo Pix - Seguros,Seguros
27/04/2024,-45.82,424d9ca2-f541-4065-b828-a9c80c0f4964,Transferência enviada pelo Pix - JAPEDIU DELIVERY - 38.026.413/0001-18 - EFÍ S.A. - IP (0364) Agência: 1 Conta: 296299-3,Alimentação
03/03/2024,-38.45,b494ab65-a44f-4672-9a88-47913297604c,Compra no débito - Streaming,Streaming
03/11/2024,-733.26,fcb6ad4e-4ea1-4007-a9bb-7ba67a749b63,Transferência enviada pelo Pix - Educação,Educação
27/01/2024,-116.69,5fedf9e6-9fcd-4c46-8120-cb576771ea2e,Conta de Pets,Pets
04/06/2024,814.87,8a850c07-c6ba-405c-9e57-02312e2cd69a,Aplicação RDB,Investimentos
08/03/2024,-110.86,fdaf2d92-b493-4e1b-a7b0-824a152791d7,Cemig - Energia elétrica,Energia Elétrica
09/06/2024,-91.55,d5183101-b281-4498-95d9-390666d1e90c,Multas - Pagamento,Multas
22/08/2024,1315.5,0f20038d-8b14-4bd2-ba55-c71710cd9e2c,TED Recebida - Pensão Recebida,Pensão Recebida
13/11/2024,1566.65,ba0655b6-b3de-4384-ab73-b04c5768e135,TED Recebida - Bonificação,Bonificação
01/11/2024,-668.72,63b7b430-0e1b-4a12-a31c-857b5335c19c,Conta de Educação,Educação
13/08/2024,-37.35,ebc19f82-2352-40a7-9dd8-974ea555e61b,Conta de Telefone,Telefone
26/09/2024,347.52,40f3a440-6d19-4deb-adb6-a7d60d4e9192,PIX Recebido - Trabalho freelance,Freelance
23/01/2024,-71.11,00b95512-d490-45ef-9571-3de21fa82ca4,Compra no débito - Combustível,Combustível
07/02/2024,-55.58,4b85065b-361e-4e37-b94e-c176d3c3323b,Conta de Bares,Bares
19/10/2024,-99.23,41ff3382-ae88-4ce2-a968-cb96e62acbf2,Conta de Medicamentos,Medicamentos
25/12/2024,-82.06,10662500-3945-4955-9be3-3a44a0b1236e,Conta de Cursos,Cursos
06/12/2024,-402.25,81c4535e-ce4c-40a2-8ac0-42e32f99bd4a,Compra no débito - Plano de Saúde,Plano de Saúde
04/08/2024,-54.33,6128664f-fc59-4ad7-8166-ea385dc8b987,Academia - Pagamento,Academia
02/09/2024,-120.47,882fd189-a8b4-464d-92f1-b4b4efbff8ff,Transferência enviada pelo Pix - Jogos,Jogos
30/03/2024,2566.2,204d4a99-4003-4a28-9a93-612287b52d19,Depósito - Férias,Férias
08/03/2024,-1496.3,2c637a91-74f2-40b2-9970-b3035965aaf2,Compra no débito - Financiamentos,Financiamentos
11/03/2024,-190.6,8cf57d7c-08b6-4b09-a4e8-247458e92029,Compra no débito - Lazer,Lazer
17/11/2024,-212.44,7e0ffcae-df70-4dac-92ba-8aadf6e8e313,Conta de Multas,Multas
05/10/2024,-522.91,26950d13-c965-408f-8a0f-63c5478abe0a,Compra no débito - Crianças,Crianças
16/09/2024,-40.71,3671aff8-cdb9-4acd-8d39-d7a1f99b0e36,Pagamento Shell via PIX,Transporte
05/01/2024,-137.12,5acf0423-2d19-48eb-ad02-aa6ab02fb7a2,Conta de Academia,Academia
10/05/2024,-159.04,854ba289-4f6a-43bf-8b3d-a91f57382533,Transferência enviada pelo Pix - Sapatos,Sapatos
17/07/2024,-225.29,b4f258a9-dea2-4c57-afc3-9864146ed01f,Plano de Saúde - Pagamento,Plano de Saúde
07/06/2024,-76.56,63520d47-61d5-4dbc-a3b9-4620eeb76167,Restaurantes - Pagamento,Restaurantes
29/06/2024,7952.57,56a126c7-576f-4ef4-a14b-080af0d1957d,PIX Recebido - 13º Salário,13º Salário
21/04/2024,673.48,2eff9197-ec9f-4d65-8f74-7f1e4e8ab5d9,PIX Recebido - Renda Extra,Renda Extra
28/09/2024,-114.08,74b10ad1-19dd-452d-9ea9-631a8d9a160c,Transferência enviada pelo Pix - Academia,Academia
12/09/2024,6197.76,85858bf3-f948-470d-a441-362d3ea93501,Depósito - Salário,Salário
04/01/2024,-491.68,8045d87f-b320-408d-8f1d-b64234be0fa8,Plano de Saúde - Pagamento,Plano de Saúde
11/05/2024,-35.07,792ae979-1c6d-4603-b9c0-d3c729665951,PAGUE MENOS 243 - Medicamentos,Medicamentos
23/09/2024,-87.41,4ddb3899-3366-4554-a3c5-c13fd03c7da0,Compra no débito - Restaurantes,Restaurantes
25/01/2024,625.82,a55fdd23-353a-403e-998d-d46c6f1833ab,TED Recebida - Comissões,Comissões
11/10/2024,-283.57,086a2046-139b-434e-a016-0d689850a331,Multas - Pagamento,Multas
25/07/2024,-32.97,d95a979e-93f5-4ff8-9d7e-37a272f2967c,Estacionamento - Viagem,Transporte
11/09/2024,-204.39,690f653b-6992-4e45-b32b-072d039cabed,Conta de Crianças,Crianças
07/11/2024,-89.83,a6b69cfa-a391-4a0c-bb37-890fbbced3e8,Transferência enviada pelo Pix - Telefone,Telefone
16/08/2024,-120.0,a7e81a60-56b5-40e9-9d52-62dbcbc5a565,Compra no débito - Carrefour,Supermercado
12/02/2024,-104.95,ab57c81b-9cb4-4e8a-b319-c75b11b24396,Compra no débito - Jogos,Jogos
20/03/2024,-53.63,b0228ef5-cb0e-40a4-b5e3-b38a84889b92,MP *THEOEVENTOS - Refeição,Alimentação
07/06/2024,1831.82,88124437-819b-446f-b4b9-009939d8d247,Resgate RDB,Investimentos
19/05/2024,-59.64,1b1cc340-f959-481a-9f71-0f205f975e6f,Cursos - Pagamento,Cursos
17/08/2024,1826.87,bdbfe280-89de-43c4-8740-8b99eb7142f9,TED Recebida - Restituição IR,Restituição IR
25/07/2024,-137.01,8165bd66-93e6-4990-9e66-2afd38102aa1,Academia - Pagamento,Academia
03/10/2024,-58.12,d1848965-d280-40ff-a9b7-bf5a74f55bed,Compra no débito - Academia,Academia
01/08/2024,-285.82,6fba980e-4862-487a-801f-ff1c3411bfe9,Conta de Cursos,Cursos
12/09/2024,4259.52,66bdebd8-6dc9-42ad-99e4-f91a33cd1caf,TED Recebida - Férias,Férias
23/06/2024,-113.34,0c782aeb-c2c3-43bb-ad40-ea856a2fd1e4,Água - Pagamento,Água
08/07/2024,-657.9,2f7f2df5-e7e0-43fd-9e5f-9ad85c050822,Conta de Financiamentos,Financiamentos
06/07/2024,-60.59,4ba4bed7-2cbb-4c00-8b82-536611b279ad,Transferência enviada pelo Pix - Assinaturas,Assinaturas
29/07/2024,-31.07,eac6416b-1b15-4769-8aec-05514dd9a3ef,Compra no débito - Netflix,Streaming
04/07/2024,-1465.41,b5433664-0767-4064-8180-c3d2d2f24b55,Compra no débito - Empréstimos,Empréstimos
18/12/2024,-25.16,50da79cc-ff22-4435-97ef-291e2c954de5,Conta de Cosméticos,Cosméticos
28/10/2024,-67.18,c1f6f1eb-ce53-492c-befb-67118e2b05ce,Academia - Pagamento,Academia
25/10/2024,-149.18,d7921c5d-942b-4266-afbf-dfb8c4cf45f3,Transferência enviada pelo Pix - Restaurantes,Restaurantes
24/09/2024,-497.75,63c3276c-a364-44e5-b9ad-3c12e373e676,Conta de IPTU,IPTU
03/05/2024,-75.78,189408fb-b721-460f-b3b5-9be973c660a1,Transferência enviada pelo Pix - Internet,Internet
25/10/2024,-98.39,beb20421-2aa0-4ac1-a812-2702f67a1cb4,Transferência enviada pelo Pix - Bares,Bares
15/03/2024,-1022.54,cf979dae-a9dd-451c-8fb1-af7493e33f71,Compra no débito - Educação,Educação
08/05/2024,-242.07,81e32572-524f-401a-9a73-a0fec9594ba9,Conta de Terapia,Terapia
14/01/2024,-422.01,ff636a8a-3e19-4bf7-aba7-cc811306f57c,Compra no débito - IPVA,IPVA
23/11/2024,-44.58,eb88b2cc-a1f9-4a69-b7ea-cc8932254c1e,YouTube Premium - Plano Premium,Streaming
18/01/2024,-79.89,6485582b-cf77-4521-b669-eaebff77ab53,Conta de Gás,Gás
19/12/2024,-540.0,ba71448d-071d-4525-b406-319111b99387,IPVA - Pagamento,IPVA
24/07/2024,-178.77,133a9d7a-38a4-4b1e-abab-bf51eee5d85f,Transferência enviada pelo Pix - Lazer,Lazer
14/03/2024,-967.43,e2b023a2-49a5-400c-a708-f7bd576eeb51,Conta de Educação,Educação
26/11/2024,-116.43,e748f06f-fa66-4455-aa58-f259a39f267b,Compra no débito - Academia,Academia
09/06/2024,678.99,6ba86480-822d-4585-ae68-e8367820f96f,Transferência Recebida - Renda Extra,Renda Extra
12/06/2024,-91.51,21150ab0-9fa1-4990-a542-d895f2ba4d80,Doações - Pagamento,Doações
25/05/2024,-120.12,8ea44943-15a8-4955-965d-eac9e24204c7,Transferência enviada pelo Pix - Outros,Outros
22/09/2024,-84.61,2485b8ab-cd97-487c-bf20-80f1b35185b1,Transferência enviada pelo Pix - Multas,Multas
27/05/2024,-56.21,985ae892-b1f0-48e2-b1af-eb8bbf4023e0,Transferência enviada pelo Pix - Gás,Gás
16/11/2024,-95.48,46e90fa7-7ed0-40b8-ba12-a8dd4a3c6008,Transferência enviada pelo Pix - Doações,Doações
24/07/2024,319.77,bc1024a2-b8d8-4e24-9ed5-0ac4af980868,PIX Recebido - Renda Extra,Renda Extra
05/09/2024,782.98,31185267-cef9-4b54-9c4e-f0c19c9c513d,TED Recebida - Vendas,Vendas
08/10/2024,-2622.66,44303861-fe27-4938-9693-310ea93f6223,Viagens - Pagamento,Viagens
03/02/2024,1510.85,19199f3b-56c0-4854-9939-0250ae71606e,Resgate RDB,Investimentos
26/09/2024,-30.33,1497eceb-88df-419b-98e1-ffc65bf6ce19,Compra no débito - IFD*IFOOD CLUB,Alimentação
18/07/2024,-83.12,86ba298d-21af-47f8-ab80-7d9c3474007b,Compra no débito - Saúde,Saúde
24/08/2024,-79.42,3f6f4ce6-9338-4db7-bd3d-f48f217247ab,Compra no débito - Cosméticos,Cosméticos
28/06/2024,-99.77,ac1d2a66-45d6-4d14-b1de-10f24634cc2e,Conta de Outros,Outros
17/01/2024,-16.35,714fd346-1c53-47ef-8035-d451ae3c7c9b,Cinema - Pagamento,Cinema
12/06/2024,-101.11,a898466f-df24-4774-9404-00b901fd0320,Seguros - Pagamento,Seguros
15/04/2024,-86.37,79185519-a8e1-48bb-a76d-11bd90372378,Transferência enviada pelo Pix - Livros,Livros
11/06/2024,486.45,ece65dd2-7429-4360-bbf3-650a74b72e03,Transferência recebida pelo Pix - FRANCISCA E M P AZEVEDO ME - 20.725.700/0001-50 - CAIXA ECONOMICA FEDERAL (0104) Agência: 748 Conta: 578389441-5,Freelance
22/07/2024,303.41,ec972f06-ccc1-457e-a960-e854c6c03b1d,PIX Recebido - Comissões,Comissões
10/07/2024,-287.74,3bff0b42-7e60-4b9d-9d3d-0e4d3452b236,Compra no débito - IPVA,IPVA
09/10/2024,-116.26,53b56d39-7bc8-474d-ae2b-59c7b69897b5,Restaurantes - Pagamento,Restaurantes
27/05/2024,2574.25,8681094e-59ab-451f-99f4-09244b08586f,Aplicação RDB,Investimentos
10/08/2024,-109.89,d9faf7a4-a514-48a6-8ab3-40fc583aadcd,Transferência enviada pelo Pix - Terapia,Terapia
12/04/2024,729.1,4b73c507-925f-4866-ad47-bdb6a2cecdcc,PIX Recebido - Renda Extra,Renda Extra
14/08/2024,-123.57,dc342f0f-3ac7-4ecc-b409-a01023604631,Compra no débito - Doações,Doações
22/10/2024,-164.01,94767eb8-8c14-4639-ba23-7daf58620230,Transferência enviada pelo Pix - Terapia,Terapia
29/11/2024,-22.07,b0dfdfd6-8f3a-47b1-981b-4fff6b527513,Transferência enviada pelo Pix - Medicamentos,Medicamentos
06/07/2024,-48.5,d7a634b6-b20c-456d-8f99-5274981cedc1,Compra no débito - Netflix,Streaming
18/06/2024,1051.99,ee6ce2e7-5fed-4293-b4c4-f4c87b82e7dd,TED Recebida - Restituição IR,Restituição IR
11/02/2024,-212.22,3ead53af-dda3-405b-a506-88387a981828,Compra no débito - Multas,Multas
11/06/2024,-33.81,93084f78-a7ee-4bd1-a623-8640f27210cf,Transferência enviada pelo Pix - Transporte,Transporte
13/05/2024,-73.71,a57ae2d0-824f-470f-ade3-3bdf5080208b,Conta de Gás,Gás
17/01/2024,-254.57,4ddfeaf1-53e0-4834-b577-db3ec0db2de1,Multas - Pagamento,Multas
19/12/2024,-36.99,b5f33a3d-ce4d-4690-93de-e861ac908d3b,Compra no débito - MP *THEOEVENTOS,Alimentação
21/09/2024,-190.79,12994af2-a74d-46da-afa8-91d9c6737faa,Transferência enviada pelo Pix - Lazer,Lazer
15/09/2024,-1267.34,80883c08-b718-47bc-ac8f-2dca75114e72,Transferência enviada pelo Pix - IPTU,IPTU
25/07/2024,-27.02,5db79839-7b73-4edc-9540-15b57f0e969c,Uber - Corrida,Transporte
20/05/2024,-35.12,d84bddf8-466d-4217-930a-091b9fd137c8,Supermercado - Pagamento,Supermercado
28/12/2024,2423.55,e513b7d4-a547-4c33-9622-ead43a4fb23a,Transferência Recebida - Aluguel Recebido,Aluguel Recebido
21/12/2024,-746.31,891016d9-0227-46af-b347-ffa2e2f335e6,Transferência enviada pelo Pix - Previdência,Previdência
01/06/2024,-15.58,258c93ee-4c7e-4e2d-a03d-d770d3434823,Transferência enviada pelo Pix - Cinema,Cinema
27/08/2024,-240.55,2174f2b6-82e1-4474-8a6c-8c0fc9def6f7,Transferência enviada pelo Pix - Multas,Multas
18/10/2024,-837.97,bed51568-ac25-4f68-99a9-77fa7367b388,Transferência enviada pelo Pix - Poupança,Poupança
05/12/2024,-26.48,f9154b6e-303d-4ba5-bb06-32f4f15ddd16,Compra no débito - Netflix,Streaming
17/02/2024,-852.55,364da1eb-9e00-4b0d-b9b8-e3aa60ccb5e2,Compra no débito - Moradia,Moradia
26/01/2024,-116.36,24dfebff-e297-40d9-9ba0-8db765d1018d,Compra no débito - Copel,Energia Elétrica
02/02/2024,707.93,720d2609-723e-46c0-b032-9e55e17c1ec0,TED Recebida - Renda Extra,Renda Extra
29/01/2024,-55.07,d54165e4-d755-4b59-9bc9-cad4cec7184d,Compra no débito - Combustível,Combustível
27/12/2024,-74.55,31dc3b40-41b0-4b33-a121-84d7f213099a,Compra no débito - Bares,Bares
23/02/2024,-995.79,08759110-a3fe-4f07-8e9b-70791b8a59da,Compra no débito - Financiamentos,Financiamentos
09/12/2024,-131.32,d4181b0b-b0a6-4b50-b3ac-371f424846e0,Cursos - Pagamento,Cursos
17/03/2024,-110.67,0d4a6a83-27ae-44d3-9c34-186cd18d0e0c,Poupança - Pagamento,Poupança
13/04/2024,491.24,a6802231-c1f8-4dd9-bf6a-053cef3a63ab,PIX Recebido - Trabalho freelance,Freelance
04/03/2024,-60.96,05146c27-27f7-4644-96b3-5f4c7963e80f,Compra no débito - Restaurantes,Restaurantes
28/07/2024,-83.0,e8302b1c-258f-4ab9-bdda-47af660e5018,Drogasil - Medicamentos,Medicamentos
11/05/2024,-149.23,8f6dfde9-5b44-4241-82e4-72459f209bb6,Restaurantes - Pagamento,Restaurantes
30/05/2024,-12.02,7cc065c1-6f2d-49dc-8b4b-9b47503d5b42,Compra no débito - Disney+,Streaming
04/04/2024,-277.8,435ee613-7124-437e-989e-4df9da20cf51,Cursos - Pagamento,Cursos
31/01/2024,1350.62,17dc2748-5620-4a01-9375-1dd3545e2a71,Depósito - Aluguel Recebido,Aluguel Recebido
06/01/2024,-177.45,1c6b601f-da0f-498c-b2fa-07c69ddf5707,Conta de Sapatos,Sapatos
07/02/2024,-349.77,4e234184-68de-4802-a76c-5205dcc37c5f,Compra no débito - Previdência,Previdência
17/02/2024,-86.79,800d3381-310f-48ef-b671-448834c4dcf6,Transferência enviada pelo Pix - Livros,Livros
08/07/2024,-1110.43,20a8269e-fdac-4760-89fb-272fc8ec4f46,Conta de Empréstimos,Empréstimos
25/03/2024,369.66,2476b186-8737-4067-bca1-c57e31e43b0e,TED Recebida - Renda Extra,Renda Extra
12/12/2024,-194.61,b05bc262-5760-42a0-89c8-b8b903e24236,Seguros - Pagamento,Seguros
26/05/2024,-141.04,2b9cd5a1-0c20-47b4-b7ba-3dec2e839ed2,Conta de Combustível,Combustível
31/07/2024,1532.36,5ccb84e0-7029-4013-9119-9817cd2cb9db,TED Recebida - Férias,Férias
29/06/2024,-39.37,8ee12562-7b6b-4cdc-9197-167af508a2f5,Assinatura Amazon Prime,Streaming
20/02/2024,-23.16,8193ee92-793e-4dff-a64b-af7ecc745286,Conta de Livros,Livros
22/05/2024,-350.93,d741a59b-2b55-43ce-8017-e3d3c86bf198,Seguros - Pagamento,Seguros
27/10/2024,-34.1,e67834bd-9ba9-4201-a1aa-3ea12d2ae6fa,Água - Pagamento,Água
11/10/2024,-154.88,eec42d5c-a683-4aa8-a25b-2ffeb6ff445d,Pets - Pagamento,Pets
22/01/2024,-30.79,cd2164d5-c6bc-4bc6-8292-621c6b01b588,Conta de Assinaturas,Assinaturas
31/03/2024,-2308.77,2c225fa1-a762-4845-98aa-f120b1da955c,Aluguel - Pagamento,Aluguel
16/08/2024,-15.51,4acdff7a-fc19-4816-85a4-03baff1659f5,Compra no débito - GIL DA TAPIOCA,Alimentação
08/08/2024,-133.41,a82b836b-eaa0-4361-8220-a812be8221d1,Conta de Internet,Internet
02/12/2024,-2904.89,3f778720-9eee-4af8-a5f4-ecda0e54a4e2,Conta de Viagens,Viagens
25/01/2024,-58.49,b39c2ddf-3e1e-46b4-bd4c-5bd534cc4a61,Compra no débito - Presentes,Presentes
05/02/2024,1023.88,4ca7fe27-ef0d-48f5-b24e-0b133c298840,PIX Recebido - Pensão Recebida,Pensão Recebida
01/09/2024,-194.48,78825775-221a-4f37-afbd-969b2764e6f6,Transferência enviada pelo Pix - Extra,Supermercado
16/03/2024,-171.08,26bc7121-71f7-4191-91c8-2c06472f0e68,Saúde - Pagamento,Saúde
23/08/2024,-146.66,ae1c7a7b-b7c7-4015-acc6-a121a1487169,Conta de Cosméticos,Cosméticos
13/09/2024,-142.5,c6eae657-aec7-463d-a924-242ce720f177,Compra no débito - Cursos,Cursos
24/12/2024,574.24,03ef889a-b5e2-40c8-8631-3d9bb19b5f30,TED Recebida - Renda Extra,Renda Extra
04/01/2024,-35.38,6f702955-207c-4fc6-9cd4-64a0a3e037df,Compra no débito - Netflix,Streaming
20/09/2024,-136.54,10168224-1ae3-428b-b73b-72762da07ff7,Transferência enviada pelo Pix - Lazer,Lazer
26/10/2024,-807.63,510aca7a-5d78-46e5-aad6-c552be71cb13,Compra no débito - Moradia,Moradia
